Device Name;Device Custom Name;Device Type;Component Name;Component Custom Name;Group;First Activity;Last Activity;IP;MAC;Risk Score;External Communication;Tags;Activities;Vuln;Var;VLAN ID;Vendor;OS;Model;Project;Hardware Version;Firmware Version;Serial Number;Sensors;License Required
;;;10.1.3.19;;Cell 3 - E-Coat Treatment;2026-02-09 22:03:38.919 +0000 UTC;2026-02-09 22:29:28.852 +0000 UTC;10.1.3.19;00:a0:f8:1b:d7:03;;No;Controller;3;0;0;;Emerson Process Management;;3051S;;;V11.3;;CVTrafficGen01;No
;;;10.1.3.11;;Cell 3 - E-Coat Treatment;2026-02-09 22:03:30.829 +0000 UTC;2026-02-09 22:29:28.852 +0000 UTC;10.1.3.11;00:00:54:6c:86:e9;;No;Engineering Station/OPC server/Controller/SNMP Agent;12;5;0;;Schneider Electric;;BMXP3420302;;;V3.40;;CVTrafficGen01;No
;;;1756-L83ES/B GUARDLOGIX;;Cell2 Robotic Welding;2026-02-09 22:03:34.565 +0000 UTC;2026-02-09 22:29:28.837 +0000 UTC;10.1.2.12;5c:88:16:72:91:5f;;No;OPC server/Controller/Rockwell Automation;8;8;0;;Rockwell Automation;;;;;35.11;419a0c0e;CVTrafficGen01;No
;;;1756-L84E/B LOGIX5584E;;Cell2 Robotic Welding;2026-02-09 22:03:30.734 +0000 UTC;2026-02-09 22:29:28.837 +0000 UTC;10.1.2.11;00:1d:9c:76:8c:17;;No;OPC server/Controller/Rockwell Automation/SNMP Agent;13;19;0;;Rockwell Automation/Allen-Bradley;;1756-L84E/B;;;32.011;f055aa43;CVTrafficGen01;No
;;;BMEP586040;;Cell 3 - E-Coat Treatment;2026-02-09 22:03:30.753 +0000 UTC;2026-02-09 22:29:28.824 +0000 UTC;10.1.3.10;ec:fa:aa:e5:2d:91;;No;Engineering Station/OPC server/Controller/SNMP Agent;12;22;0;;Schneider Electric;;BMEP586040;;;3.30;5f926031;CVTrafficGen01;No
;;;10.1.3.14;;Cell 3 - E-Coat Treatment;2026-02-09 22:03:39.582 +0000 UTC;2026-02-09 22:29:28.824 +0000 UTC;10.1.3.14;00:00:54:2b:fb:b1;;No;Controller;3;1;0;;Schneider Electric;;ATV930D15N4;;;V3.6IE50;;CVTrafficGen01;No
;;;KR C4 Weld_Robot_1_Controller;;Cell2 Robotic Welding;2026-02-09 22:03:30.945 +0000 UTC;2026-02-09 22:29:28.751 +0000 UTC;10.1.2.16;00:1f:29:9d:ee:94;;No;;4;0;0;;Hewlett Packard;;;;;8.6;3da5f912;CVTrafficGen01;No
;;;PM590-ETH AC500 CPU;;Cell 4 - Final Assembly;2026-02-09 22:03:30.881 +0000 UTC;2026-02-09 22:29:28.72 +0000 UTC;10.1.4.10;00:20:99:3b:0a:df;;No;Engineering Station/OPC server/Controller/SNMP Agent;12;0;0;;ABB;;PM590-ETH;;;3.1;2d08cce3;CVTrafficGen01;No
;;;ACS580-01 General Purpose Drive;;Cell 4 - Final Assembly;2026-02-09 22:03:35.051 +0000 UTC;2026-02-09 22:29:28.72 +0000 UTC;10.1.4.15;cc:da:0c:20:58:3a;;No;Controller;3;0;0;;ABB;;ACS580-01;;;V2.76;f61bfef9;CVTrafficGen01;No
;;;5094-AEN2TR FLEX 5000;;Cell2 Robotic Welding;2026-02-09 22:03:33.431 +0000 UTC;2026-02-09 22:29:28.676 +0000 UTC;10.1.2.22;00:00:bc:2b:d4:d9;;No;Rockwell Automation;4;0;0;;Rockwell Automation;;;;;3.11;bf9cc5c4;CVTrafficGen01;No
;;;10.1.4.11;;Cell 4 - Final Assembly;2026-02-09 22:03:29.849 +0000 UTC;2026-02-09 22:29:28.665 +0000 UTC;10.1.4.11;00:20:99:8b:5c:f4;;No;Engineering Station/OPC server/Controller/SNMP Agent;12;0;0;;ABB;;PM583-ETH;;;V3.0.4;;CVTrafficGen01;No
;;;ACS880-01 INDUSTRIAL DRIVE;;Cell 4 - Final Assembly;2026-02-09 22:03:32.247 +0000 UTC;2026-02-09 22:29:28.665 +0000 UTC;10.1.4.14;00:20:99:8c:75:63;;No;Controller;3;0;0;;ABB;;ACS880-01;;;2.60;99129afa;CVTrafficGen01;No
;;;20F-D052N103 POWERFLEX 753;;Cell2 Robotic Welding;2026-02-09 22:03:32.565 +0000 UTC;2026-02-09 22:29:28.588 +0000 UTC;10.1.2.20;00:1d:9c:5b:fd:b3;;No;Rockwell Automation;3;0;0;;Rockwell Automation;;;;;20.3;b177343a;CVTrafficGen01;No
;;;1756-L85E LOGIX5580;;Cell2 Robotic Welding;2026-02-09 22:03:30.714 +0000 UTC;2026-02-09 22:29:28.588 +0000 UTC;10.1.2.10;e4:90:69:20:ad:09;;No;OPC server/Controller/Rockwell Automation/SNMP Agent;15;8;0;;Rockwell Automation/Allen-Bradley;;1756-L85E;;;35.11;86bf062d;CVTrafficGen01;No
;;;10.1.3.21;;Cell 3 - E-Coat Treatment;2026-02-09 22:03:42.299 +0000 UTC;2026-02-09 22:29:28.575 +0000 UTC;10.1.3.21;00:00:54:35:38:63;;No;Controller;3;0;0;;Schneider Electric;;TM3DI32K;;;V2.1;;CVTrafficGen01;No
;;;25B-D030N104 POWERFLEX 525;;Cell2 Robotic Welding;2026-02-09 22:03:32.131 +0000 UTC;2026-02-09 22:29:28.471 +0000 UTC;10.1.2.19;00:1d:9c:55:ef:27;;No;Rockwell Automation;3;1;0;;Rockwell Automation;;;;;7.1;5fa26e0f;CVTrafficGen01;No
;;;1734-AENT POINT I/O;;Cell2 Robotic Welding;2026-02-09 22:03:32.517 +0000 UTC;2026-02-09 22:29:28.456 +0000 UTC;10.1.2.23;00:00:bc:41:b8:8a;;No;Rockwell Automation;4;0;0;;Rockwell Automation;;;;;7.3;9f515cf9;CVTrafficGen01;No
;;;25B-D030N104 POWERFLEX 525;;Cell2 Robotic Welding;2026-02-09 22:03:32.005 +0000 UTC;2026-02-09 22:29:28.374 +0000 UTC;10.1.2.18;00:00:bc:25:c2:2b;;No;Rockwell Automation;3;1;0;;Rockwell Automation;;;;;7.1;5fa26e0f;CVTrafficGen01;No
;;;Plant_Central_SCADA;;Segmented IDMZ;2026-02-09 22:03:29.849 +0000 UTC;2026-02-09 22:29:28.345 +0000 UTC;10.1.0.10;00:1b:1b:c9:0d:78;;No;Cisco/Net Management Server/Controller/SNMP Agent;25;0;0;;Siemens AG;;WinCC Professional;;;V18.0;;CVTrafficGen01;No
;;;5094-AEN2TR FLEX 5000;;Cell2 Robotic Welding;2026-02-09 22:03:31.992 +0000 UTC;2026-02-09 22:29:28.3 +0000 UTC;10.1.2.21;08:61:95:8f:b8:06;;No;Rockwell Automation;4;0;0;;Rockwell Automation;;;;;3.11;bf9cc5c4;CVTrafficGen01;No
;;;2198-D012-ERS3 KINETIX 5500;;Cell2 Robotic Welding;2026-02-09 22:03:31.274 +0000 UTC;2026-02-09 22:29:28.282 +0000 UTC;10.1.2.17;08:61:95:8f:ca:ff;;No;Rockwell Automation;4;1;0;;Rockwell Automation;;;;;12.1;89ea3c1d;CVTrafficGen01;No
;;;KR C4 Weld_Robot_1_Controller;;Cell2 Robotic Welding;2026-02-09 22:03:30.843 +0000 UTC;2026-02-09 22:29:28.112 +0000 UTC;10.1.2.15;00:1f:29:2f:da:78;;No;;4;0;0;;Hewlett Packard;;;;;8.6;3da5f912;CVTrafficGen01;No
;;;10.1.3.17;;Cell 3 - E-Coat Treatment;2026-02-09 22:03:31.23 +0000 UTC;2026-02-09 22:29:28.098 +0000 UTC;10.1.3.17;00:80:f4:fa:ae:2c;;No;Controller;3;1;0;;Schneider Electric;;ATV630D15N4;;;V1.7IE61;;CVTrafficGen01;No
;;;10.1.3.15;;Cell 3 - E-Coat Treatment;2026-02-09 22:03:40.431 +0000 UTC;2026-02-09 22:29:27.916 +0000 UTC;10.1.3.15;00:80:f4:2a:0c:a6;;No;Controller;3;1;0;;Schneider Electric;;ATV930D15N4;;;V3.6IE50;;CVTrafficGen01;No
;;;10.1.3.16;;Cell 3 - E-Coat Treatment;2026-02-09 22:03:40.566 +0000 UTC;2026-02-09 22:29:27.902 +0000 UTC;10.1.3.16;00:00:54:37:71:0b;;No;Controller;3;1;0;;Schneider Electric;;ATV630D15N4;;;V1.7IE61;;CVTrafficGen01;No
;;;R-30iB Plus Assembly_Robot_Contr;;Cell 4 - Final Assembly;2026-02-09 22:03:32.704 +0000 UTC;2026-02-09 22:29:27.866 +0000 UTC;10.1.4.17;00:e0:e5:b2:d4:8a;;No;;4;0;0;;CINCO NETWORKS, INC.;;;;;9.40;e6830e52;CVTrafficGen01;No
;;;10.1.3.13;;Cell 3 - E-Coat Treatment;2026-02-09 22:03:31.596 +0000 UTC;2026-02-09 22:29:27.807 +0000 UTC;10.1.3.13;00:60:e5:df:36:29;;No;Engineering Station/Controller;4;17;0;;Schneider Electric;;HMIGTO5310;;;5.1;;CVTrafficGen01;No
;;;10.1.3.18;;Cell 3 - E-Coat Treatment;2026-02-09 22:03:32.636 +0000 UTC;2026-02-09 22:29:27.647 +0000 UTC;10.1.3.18;00:0e:b3:df:5e:bf;;No;Controller;3;0;0;;Endress+Hauser;;CM442;;;V01.08.00;;CVTrafficGen01;No
;;;10.1.4.16;;Cell 4 - Final Assembly;2026-02-09 22:03:33.717 +0000 UTC;2026-02-09 22:29:27.536 +0000 UTC;10.1.4.16;cc:da:0c:03:86:b9;;No;Controller;3;0;0;;ABB;;ACS580-01;;;V2.76;;CVTrafficGen01;No
;;;10.1.1.11;;Cell1 CNC Machining;2026-02-09 22:03:30.252 +0000 UTC;2026-02-09 22:29:27.449 +0000 UTC;10.1.1.11;00:1b:1b:d9:d2:22;;No;OPC server/Controller/Siemens/SNMP Agent;16;0;0;;Siemens AG;;6ES7 511-1AK02-0AB0;;;V3.0.1;;CVTrafficGen01;No
;;;10.1.1.14;;Cell1 CNC Machining;2026-02-09 22:03:29.361 +0000 UTC;2026-02-09 22:29:27.449 +0000 UTC;10.1.1.14;00:0e:8c:92:02:f5;;No;;5;0;0;;Siemens AG;;;;;;;CVTrafficGen01;No
;;;ACS880-01 INDUSTRIAL DRIVE;;Cell 4 - Final Assembly;2026-02-09 22:03:44.127 +0000 UTC;2026-02-09 22:29:26.732 +0000 UTC;10.1.4.13;00:24:cb:05:2b:7e;;No;Controller;3;0;0;;ABB;;ACS880-01;;;2.60;99129afa;CVTrafficGen01;No
;;;10.1.4.19;;Cell 4 - Final Assembly;2026-02-09 22:03:30.455 +0000 UTC;2026-02-09 22:29:26.622 +0000 UTC;10.1.4.19;00:d0:c9:e9:29:ba;;No;Controller;3;0;0;;Advantech Co., Ltd.;;ADAM-6052;;;V2.05;;CVTrafficGen01;No
;;;Weld_Uplink_Switch;;Cell2 Robotic Welding;2026-02-09 22:03:31.692 +0000 UTC;2026-02-09 22:29:26.084 +0000 UTC;10.1.2.25;00:1a:a1:eb:c8:c6;;No;Cisco/SNMP Agent;4;0;0;;Cisco Systems, Inc;;;;;;;CVTrafficGen01;No
;;;IDMZ-JUMP-SERVER-5705;;Segmented IDMZ;2026-02-09 22:03:37.045 +0000 UTC;2026-02-09 22:29:26.084 +0000 UTC;10.1.0.14;7c:1e:52:d4:20:ee;;Yes;HTTPS Client/Net Management Server/SNMP Agent/Windows;10;0;0;;Microsoft Corporation;;;;;;;CVTrafficGen01;No
;;;10.1.4.18;;Cell 4 - Final Assembly;2026-02-09 22:03:38.633 +0000 UTC;2026-02-09 22:29:25.665 +0000 UTC;10.1.4.18;00:90:e8:90:0a:49;;No;Controller;3;0;0;;Moxa Inc.;;ioLogik E1210;;;V3.3;;CVTrafficGen01;No
;;;10.1.4.12;;Cell 4 - Final Assembly;2026-02-09 22:03:40.049 +0000 UTC;2026-02-09 22:29:24.948 +0000 UTC;10.1.4.12;00:24:2b:b4:71:0b;;No;Engineering Station/Controller;4;0;0;;ABB;;CP620;;;V1.80;;CVTrafficGen01;No
;;;ASSEMBLY-CELL-SWITCH-20C7;;Cell 4 - Final Assembly;2026-02-09 22:03:31.825 +0000 UTC;2026-02-09 22:29:24.698 +0000 UTC;10.1.4.20;00:80:63:75:dc:20;;No;SNMP Agent;4;0;0;;Hirschmann Automation and Control GmbH;;;;;;;CVTrafficGen01;No
