Device Name;Device Custom Name;Device Type;Component Name;Component Custom Name;Group;First Activity;Last Activity;IP;MAC;Risk Score;External Communication;Tags;Activities;Vuln;Var;VLAN ID;Vendor;OS;Model;Project;Hardware Version;Firmware Version;Serial Number;Sensors;License Required
;;;5094-AEN2TR FLEX 5000;;;2026-02-09 20:28:10.562 +0000 UTC;2026-02-09 20:40:06.816 +0000 UTC;10.1.2.21;00:1d:9c:3d:f7:98;;No;Rockwell Automation;4;0;0;;Rockwell Automation;;;;;3.11;415adcd7;CVTrafficGen01;No
;;;1756-L85E LOGIX5580;;;2026-02-09 20:28:08.63 +0000 UTC;2026-02-09 20:40:06.816 +0000 UTC;10.1.2.10;5c:88:16:33:77:d9;;No;OPC server/Controller/Rockwell Automation/SNMP Agent;15;8;0;;Rockwell Automation/Allen-Bradley;;1756-L85E;;;V35.011;1fee4ba5;CVTrafficGen01;No
;;;Siemens f2:98:dc;;;2026-02-09 20:28:06.809 +0000 UTC;2026-02-09 20:40:06.784 +0000 UTC;;00:1c:06:f2:98:dc;;No;IO Module;12;0;0;;Siemens Numerical Control Ltd., Nanjing;;;;;;;CVTrafficGen01;No
;;;Siemens c5:b6:d1;;;2026-02-09 20:28:42.918 +0000 UTC;2026-02-09 20:40:06.784 +0000 UTC;;00:0e:8c:c5:b6:d1;;No;IO Module;4;0;0;;Siemens AG;;;;;;;CVTrafficGen01;No
;;;Siemens 7:ae:88;;;2026-02-09 20:28:12.49 +0000 UTC;2026-02-09 20:40:06.77 +0000 UTC;;00:1b:1b:07:ae:88;;No;IO Module;2;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;Siemens d7:1f:6;;;2026-02-09 20:28:06.885 +0000 UTC;2026-02-09 20:40:06.759 +0000 UTC;;00:1b:1b:d7:1f:06;;No;IO Module;11;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;Siemens 3:3a:7c;;;2026-02-09 20:28:17.092 +0000 UTC;2026-02-09 20:40:06.759 +0000 UTC;;00:0e:8c:03:3a:7c;;No;IO Module;3;0;0;;Siemens AG;;;;;;;CVTrafficGen01;No
;;;1756-L83ES/B GUARDLOGIX;;;2026-02-09 20:28:11.245 +0000 UTC;2026-02-09 20:40:06.736 +0000 UTC;10.1.2.12;00:1d:9c:04:be:07;;No;OPC server/Controller/Rockwell Automation;8;8;0;;Rockwell Automation;;;;;35.11;eceaf891;CVTrafficGen01;No
;;;Siemens 26:c7:74;;;2026-02-09 20:29:08.082 +0000 UTC;2026-02-09 20:40:06.69 +0000 UTC;;00:1b:1b:26:c7:74;;No;IO Module;2;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;1756-L84E/B LOGIX5584E;;;2026-02-09 20:28:08.927 +0000 UTC;2026-02-09 20:40:06.678 +0000 UTC;10.1.2.11;5c:88:16:fe:ea:df;;No;OPC server/Controller/Rockwell Automation/SNMP Agent;13;19;0;;Rockwell Automation/Allen-Bradley;;1756-L84E/B;;;32.011;f4d1c16c;CVTrafficGen01;No
;;;25B-D030N104 POWERFLEX 525;;;2026-02-09 20:28:10.105 +0000 UTC;2026-02-09 20:40:06.678 +0000 UTC;10.1.2.19;00:00:bc:e4:07:2b;;No;Rockwell Automation;3;1;0;;Rockwell Automation;;;;;7.1;4ca2ce1f;CVTrafficGen01;No
;;;R-30iB Plus Assembly_Robot_Contr;;;2026-02-09 20:28:12.471 +0000 UTC;2026-02-09 20:40:06.657 +0000 UTC;10.1.4.17;00:e0:e4:ed:2f:01;;No;;4;0;0;;FANUC ROBOTICS NORTH AMERICA, Inc.;;;;;9.40;e736e159;CVTrafficGen01;No
;;;10.1.4.11;;;2026-02-09 20:28:09.102 +0000 UTC;2026-02-09 20:40:06.657 +0000 UTC;10.1.4.11;00:24:cb:a8:57:8f;;No;Engineering Station/OPC server/Controller/SNMP Agent;12;0;0;;ABB;;PM583-ETH;;;V3.0.4;;CVTrafficGen01;No
;;;KR C4 Weld_Robot_1_Controller;;;2026-02-09 20:28:08.63 +0000 UTC;2026-02-09 20:40:06.643 +0000 UTC;10.1.2.15;00:1a:28:f8:d5:92;;No;;4;0;0;;ASWT Co., LTD. Taiwan Branch H.K.;;;;;8.6;684d8242;CVTrafficGen01;No
;;;KR C4 Weld_Robot_1_Controller;;;2026-02-09 20:28:08.927 +0000 UTC;2026-02-09 20:40:06.59 +0000 UTC;10.1.2.16;00:1a:28:bf:33:ec;;No;;4;0;0;;ASWT Co., LTD. Taiwan Branch H.K.;;;;;8.6;684d8242;CVTrafficGen01;No
;;;2198-D012-ERS3 KINETIX 5500;;;2026-02-09 20:28:09.147 +0000 UTC;2026-02-09 20:40:06.536 +0000 UTC;10.1.2.17;08:61:95:ef:39:5f;;No;Rockwell Automation;4;1;0;;Rockwell Automation;;;;;12.1;31bcd362;CVTrafficGen01;No
;;;ACS580-01 General Purpose Drive;;;2026-02-09 20:28:24.396 +0000 UTC;2026-02-09 20:40:06.503 +0000 UTC;10.1.4.15;00:20:99:90:0c:b3;;No;Controller;3;0;0;;ABB;;ACS580-01;;;2.76;a02c57bd;CVTrafficGen01;No
;;;PM590-ETH AC500 CPU;;;2026-02-09 20:28:08.299 +0000 UTC;2026-02-09 20:40:06.503 +0000 UTC;10.1.4.10;00:20:99:f2:42:b4;;No;Engineering Station/OPC server/Controller/SNMP Agent;12;0;0;;ABB;;PM590-ETH;;;V3.1.2;d81344cb;CVTrafficGen01;No
;;;Siemens 2d:94:2e;;;2026-02-09 20:28:22.87 +0000 UTC;2026-02-09 20:40:06.468 +0000 UTC;;00:1b:1b:2d:94:2e;;No;IO Module;2;0;0;;Siemens AG,;;;;;;;CVTrafficGen01;No
;;;BMEP586040;;;2026-02-09 20:28:09.015 +0000 UTC;2026-02-09 20:40:06.446 +0000 UTC;10.1.3.10;00:80:f4:a6:ca:c1;;No;Engineering Station/OPC server/Controller/SNMP Agent;12;22;0;;Schneider Electric;;BMEP586040;;;3.30;cdda966c;CVTrafficGen01;No
;;;10.1.3.16;;;2026-02-09 20:28:21.037 +0000 UTC;2026-02-09 20:40:06.446 +0000 UTC;10.1.3.16;00:80:f4:1c:d3:71;;No;Controller;3;1;0;;Schneider Electric;;ATV630D15N4;;;V1.7IE61;;CVTrafficGen01;No
